,project_id,uid,date,income
245,73838,1703905621,2022-11-10T00:00:00.000Z,0.0
246,73947,1703905621,2022-11-04T00:00:00.000Z,0.02
247,74386,1706440161,2022-11-04T00:00:00.000Z,0.0
248,74386,1718416044,2022-11-26T00:00:00.000Z,0.0
249,74387,1714073899,2022-11-16T00:00:00.000Z,0.0
250,74662,1703905621,2022-11-19T00:00:00.000Z,0.0
251,74663,1703905621,2022-10-26T00:00:00.000Z,0.0
252,74852,1706440161,2022-11-08T00:00:00.000Z,0.0
253,74853,1714073899,2022-11-17T00:00:00.000Z,0.0
254,74854,1703905621,2022-11-04T00:00:00.000Z,0.0
255,74951,1714073899,2022-11-15T00:00:00.000Z,0.05
256,74976,1429235843,2022-11-23T00:00:00.000Z,0.06
257,74976,1490584733,2022-12-15T00:00:00.000Z,0.0
258,74976,1684019585,2022-12-14T00:00:00.000Z,0.0
259,74976,1703905621,2022-11-20T00:00:00.000Z,0.01
260,74976,1706440161,2022-11-16T00:00:00.000Z,0.23
261,74976,1713698815,2022-12-07T00:00:00.000Z,0.0
262,74976,1718146027,2022-11-29T00:00:00.000Z,0.0
263,74998,1430094402,2022-10-26T00:00:00.000Z,0.0
264,74998,1675921760,2022-10-10T00:00:00.000Z,0.0
265,74998,1703905621,2022-11-14T00:00:00.000Z,0.0
266,74999,1675921760,2022-10-24T00:00:00.000Z,0.0
267,74999,1703905621,2022-10-29T00:00:00.000Z,0.0
268,75641,1684019585,2022-12-11T00:00:00.000Z,0.46
269,75641,1706440161,2022-12-01T00:00:00.000Z,0.08
270,75641,1718416044,2022-11-28T00:00:00.000Z,0.04
271,76361,1706440161,2022-11-01T00:00:00.000Z,0.04
272,76361,1710096477,2022-11-29T00:00:00.000Z,0.04
273,77011,1714073899,2022-11-27T00:00:00.000Z,0.0
274,77012,1714073899,2022-11-27T00:00:00.000Z,0.0
275,77196,1648608319,2022-12-08T00:00:00.000Z,0.07
276,77196,1714073899,2022-12-07T00:00:00.000Z,0.01
277,77639,1706440161,2022-11-14T00:00:00.000Z,0.0
278,77809,1429235843,2022-11-29T00:00:00.000Z,0.08
279,77809,1458049517,2022-12-01T00:00:00.000Z,0.0
280,77809,1675921760,2022-11-02T00:00:00.000Z,0.16
281,77809,1703905621,2022-12-01T00:00:00.000Z,0.0
282,77809,1706440161,2022-11-28T00:00:00.000Z,0.08
283,77809,1710096477,2022-11-29T00:00:00.000Z,0.0
284,77809,1714073899,2022-11-29T00:00:00.000Z,0.0
285,77809,1718146027,2022-11-28T00:00:00.000Z,0.0
286,77809,1718416044,2022-11-28T00:00:00.000Z,0.0
287,77816,1458049517,2022-12-25T00:00:00.000Z,0.0
288,77816,1706440161,2022-11-16T00:00:00.000Z,0.0
289,77816,1714073899,2022-11-23T00:00:00.000Z,0.0
290,78414,1490584733,2022-10-13T00:00:00.000Z,0.0
291,78414,1675921760,2023-01-20T00:00:00.000Z,0.69
292,78414,1703905621,2022-10-25T00:00:00.000Z,0.0
293,78414,1706440161,2022-11-26T00:00:00.000Z,0.69
